40 378
1 2 19
1 4 31
1 6 39
1 10 7
1 15 7
1 16 3
1 17 33
1 18 25
1 20 5
1 24 5
1 26 41
1 29 -1
1 31 43
1 35 49
1 37 19
1 40 9
2 3 21
2 5 3
2 6 21
2 7 35
2 8 45
2 12 31
2 18 25
3 7 21
3 8 3
3 10 -1
3 11 19
3 13 29
3 14 17
3 15 19
3 18 27
3 19 23
3 21 43
3 24 31
3 28 35
3 31 33
3 34 31
4 2 6
4 3 40
4 5 27
4 8 7
4 16 1
4 17 37
4 22 23
4 23 23
4 25 41
4 30 -1
5 1 18
5 3 1
5 9 47
5 16 19
5 24 -1
5 27 49
5 37 29
6 3 14
6 4 40
6 5 20
6 7 47
6 8 47
6 11 31
6 14 33
6 17 43
6 20 -1
6 22 9
6 25 27
6 29 33
6 39 -1
7 13 31
7 18 11
7 21 5
7 22 19
7 26 39
7 28 41
7 33 49
7 38 1
7 39 31
8 1 48
8 13 21
8 15 43
8 16 25
8 19 35
8 23 13
8 25 17
8 27 25
8 31 49
8 34 31
8 36 41
9 4 26
9 11 49
9 16 47
9 18 35
9 19 1
9 24 35
9 25 41
9 31 9
10 2 1
10 8 40
10 9 32
10 11 3
10 12 25
10 23 7
10 27 49
10 28 -1
10 33 45
11 1 26
11 2 46
11 8 20
11 13 15
11 19 9
11 21 35
11 39 19
12 8 2
12 17 9
12 35 21
12 38 47
13 1 8
13 6 6
13 17 43
13 18 39
13 19 27
13 22 3
13 24 5
13 32 19
14 1 38
14 2 46
14 8 44
14 19 37
14 22 39
14 25 13
14 28 11
14 34 11
15 2 10
15 13 38
15 17 25
15 20 39
15 21 -1
15 27 39
15 37 15
16 2 26
16 7 12
16 11 1
16 12 46
16 14 48
16 22 49
16 25 37
16 33 31
17 3 48
17 16 48
17 21 7
17 23 5
17 29 29
17 38 33
17 40 3
18 4 48
18 11 44
18 15 14
18 17 46
18 22 25
18 25 49
18 30 5
18 31 25
18 34 23
18 38 -1
19 1 36
19 7 46
19 15 8
19 17 -2
19 22 23
19 30 17
19 32 43
20 5 22
20 7 40
20 13 18
20 19 44
20 24 17
20 26 15
20 36 5
20 39 47
21 2 14
21 8 40
21 19 30
21 22 47
21 27 43
21 34 15
22 1 12
22 2 26
22 29 21
22 30 45
22 32 49
22 35 47
23 2 30
23 14 22
23 15 22
23 16 30
23 20 10
23 22 28
23 24 21
23 28 45
23 30 45
23 34 33
23 37 47
23 38 29
23 40 43
24 2 -2
24 6 22
24 7 8
24 12 1
24 16 26
24 17 10
24 18 42
24 25 23
25 11 20
25 13 22
25 20 24
25 21 30
25 22 26
25 27 17
25 29 3
25 33 15
25 38 9
25 40 35
26 10 32
26 17 6
26 19 1
26 22 50
26 23 32
26 24 16
27 1 20
27 2 1
27 4 18
27 6 18
27 18 10
27 19 42
27 20 26
27 24 -2
27 32 39
27 36 15
28 4 -2
28 11 40
28 12 2
28 13 38
28 16 14
28 17 28
28 34 1
28 35 23
28 36 19
29 4 38
29 13 46
29 15 22
29 16 24
29 18 1
29 30 31
29 31 45
29 34 41
30 1 2
30 6 44
30 7 1
30 8 10
30 10 32
30 21 16
30 24 18
30 26 40
30 31 43
30 32 39
30 40 23
31 2 44
31 4 30
31 6 38
31 7 46
31 12 -2
31 13 46
31 14 28
31 15 2
31 17 40
31 20 24
31 25 -2
31 26 44
31 27 50
31 28 4
31 40 31
32 4 36
32 9 -2
32 10 46
32 16 50
32 18 20
32 20 50
32 21 8
32 23 28
32 24 18
32 37 17
33 2 22
33 8 28
33 11 30
33 13 32
33 15 20
33 18 8
33 19 28
33 20 8
33 21 42
33 24 30
33 27 8
33 28 6
33 31 24
33 32 28
33 34 31
34 2 10
34 4 4
34 6 14
34 9 20
34 12 40
34 17 38
34 19 42
34 20 46
34 27 24
34 32 6
34 35 33
34 36 21
34 37 49
35 2 48
35 3 38
35 4 38
35 5 26
35 8 38
35 13 32
35 14 2
35 29 8
35 38 37
35 40 49
36 1 8
36 2 8
36 5 12
36 7 26
36 13 38
36 14 20
36 15 10
36 22 38
36 31 16
36 35 36
37 10 8
37 11 24
37 13 8
37 16 28
37 20 -2
37 27 16
37 31 24
37 35 48
37 39 41
37 40 11
38 1 20
38 2 50
38 5 44
38 15 44
38 20 36
38 21 44
38 22 18
38 27 32
38 30 48
38 34 46
38 40 23
39 1 28
39 2 14
39 8 26
39 13 32
39 17 4
39 22 22
39 24 50
39 30 12
39 34 50
39 40 35
40 3 16
40 5 8
40 10 8
40 16 2
40 18 32
40 20 32
40 21 6
40 24 30
40 27 6
