40 647
1 2 13
1 3 7
1 4 9
1 5 9
1 13 37
1 14 35
1 17 9
1 20 43
1 22 45
1 24 47
1 26 17
1 27 39
1 33 35
2 5 25
2 6 43
2 7 29
2 8 17
2 10 47
2 11 47
2 13 27
2 14 29
2 15 13
2 20 13
2 21 39
2 23 13
2 24 43
2 25 9
2 26 5
2 29 27
2 34 29
2 37 17
2 38 7
2 39 7
2 40 23
3 7 11
3 8 5
3 13 7
3 14 21
3 25 -1
3 27 29
3 28 43
3 29 25
3 31 35
3 33 41
3 35 23
4 2 26
4 3 34
4 5 1
4 6 35
4 8 35
4 10 37
4 14 45
4 15 39
4 20 13
4 29 33
4 30 47
4 31 11
4 37 15
4 39 15
5 3 6
5 6 15
5 10 33
5 14 19
5 15 15
5 20 29
5 22 43
5 28 27
5 29 5
5 30 47
5 32 21
5 34 35
5 35 33
5 37 27
5 38 37
6 1 10
6 3 44
6 8 21
6 11 39
6 13 19
6 15 25
6 16 43
6 17 11
6 18 31
6 21 5
6 25 39
6 26 17
6 29 7
6 32 21
6 34 31
6 35 35
6 37 19
6 39 45
7 1 2
7 4 26
7 5 2
7 6 40
7 11 35
7 12 37
7 15 3
7 17 45
7 18 19
7 20 39
7 22 5
7 25 13
7 26 37
7 27 13
7 30 39
7 37 37
7 39 19
8 1 4
8 7 48
8 9 29
8 11 -1
8 25 39
8 26 35
8 27 25
8 29 39
8 35 35
9 1 8
9 2 24
9 3 32
9 4 12
9 5 2
9 6 28
9 10 17
9 11 31
9 12 21
9 13 25
9 20 23
9 26 1
9 27 21
9 29 43
9 33 41
9 35 41
9 36 49
9 39 27
9 40 15
10 1 30
10 3 44
10 7 30
10 15 41
10 19 29
10 21 5
10 29 1
10 31 39
10 36 39
10 37 41
10 38 33
11 3 32
11 4 12
11 5 30
11 10 20
11 13 5
11 18 21
11 24 9
11 27 19
11 30 -1
11 31 45
11 33 9
11 36 27
11 38 9
12 2 50
12 5 14
12 6 34
12 8 48
12 10 48
12 14 13
12 15 29
12 16 11
12 20 17
12 21 21
12 22 -1
12 24 17
12 25 13
12 30 25
12 31 17
12 32 35
12 33 9
12 35 49
12 37 11
12 38 47
13 7 32
13 8 24
13 10 38
13 14 1
13 17 9
13 21 25
13 22 29
13 24 43
13 31 21
13 33 11
13 36 3
13 38 23
13 39 15
13 40 21
14 6 48
14 7 -2
14 9 46
14 11 30
14 19 49
14 20 11
14 22 5
14 24 25
14 29 25
14 33 -1
14 37 31
14 40 25
15 1 28
15 3 28
15 8 14
15 9 46
15 11 34
15 13 24
15 14 36
15 16 31
15 19 43
15 21 5
15 26 37
15 30 -1
15 31 39
15 39 37
16 2 22
16 7 34
16 8 48
16 10 50
16 11 22
16 13 1
16 14 4
16 18 21
16 19 37
16 24 15
16 26 35
16 33 5
16 35 49
16 36 27
16 37 35
16 39 45
17 2 22
17 3 48
17 4 32
17 8 14
17 11 8
17 12 -2
17 14 -2
17 15 12
17 18 35
17 19 1
17 22 37
17 24 19
17 27 41
17 28 21
17 30 47
17 31 21
17 33 45
17 38 15
18 1 14
18 2 8
18 4 16
18 5 46
18 8 32
18 9 46
18 12 10
18 13 50
18 15 40
18 21 47
18 23 27
18 28 1
18 30 21
18 38 9
19 5 38
19 7 40
19 8 26
19 12 14
19 13 12
19 21 35
19 22 3
19 24 17
19 26 33
19 27 31
19 29 43
19 30 41
19 32 45
19 33 19
19 34 47
19 36 11
19 40 35
20 3 4
20 6 18
20 8 42
20 10 1
20 13 30
20 15 28
20 18 1
20 19 6
20 21 27
20 22 35
20 23 15
20 29 19
20 34 11
20 36 7
20 37 9
20 40 -1
21 1 22
21 4 42
21 5 1
21 7 46
